|USER |PASSWORD|TRAVEL_DATE|DESTINATION|
| USER_1|Pass_1|7/20/2009| sucre|
| USER_2|Pass_2|6/11/2015| Oruro|
| USER_3|Pass_3|1/25/2003| Potosi|
| USER_4|Pass_4|11/19/2007| Oruro|
| USER_5|Pass_5|9/19/2016| Potosi|
| USER_6|Pass_6|1/25/2016| STC|
| USER_7|Pass_7|11/19/2000| tarija|
| USER_8|Pass_8|6/22/2012| Potosi|
| USER_9|Pass_9|5/18/2000| sucre|
| USER_10|Pass_10|1/16/2014| STC|
| USER_11|Pass_11|1/22/2003| Oruro|
| USER_12|Pass_12|11/17/2012| CBBA|
| USER_13|Pass_13|2/29/2003| tarija|
| USER_14|Pass_14|8/8/2016| Beni|
| USER_15|Pass_15|2/1/2015| STC|
| USER_16|Pass_16|11/25/2012| Oruro|
| USER_17|Pass_17|12/10/2005| Pando|
| USER_18|Pass_18|5/2/2009| Beni|
| USER_19|Pass_19|1/6/2000| sucre|
| USER_20|Pass_20|4/2/2010| Pando|
| USER_21|Pass_21|11/22/2009| LP|
| USER_22|Pass_22|1/2/2013| Oruro|
| USER_23|Pass_23|7/5/2005| sucre|
| USER_24|Pass_24|11/24/2016| Potosi|
| USER_25|Pass_25|10/20/2015| STC|
| USER_26|Pass_26|9/10/2002| Oruro|
| USER_27|Pass_27|6/15/2016| Potosi|
| USER_28|Pass_28|4/16/2006| Oruro|
| USER_29|Pass_29|6/24/2007| Potosi|
| USER_30|Pass_30|4/24/2015| Oruro|
| USER_31|Pass_31|4/6/2002| sucre|
| USER_32|Pass_32|7/29/2007| LP|
| USER_33|Pass_33|5/22/2005| Beni|
| USER_34|Pass_34|1/23/2009| Oruro|
| USER_35|Pass_35|7/17/2009| Potosi|
| USER_36|Pass_36|4/30/2001| Pando|
| USER_37|Pass_37|4/12/2010| tarija|
| USER_38|Pass_38|11/9/2005| tarija|
| USER_39|Pass_39|11/8/2014| Pando|
| USER_40|Pass_40|6/24/2011| LP|
| USER_41|Pass_41|10/6/2015| tarija|
| USER_42|Pass_42|2/22/2016| Pando|
| USER_43|Pass_43|1/11/2001| sucre|
| USER_44|Pass_44|8/12/2014| Potosi|
| USER_45|Pass_45|11/26/2004| CBBA|
| USER_46|Pass_46|4/29/2016| Potosi|
| USER_47|Pass_47|8/30/2012| Beni|
| USER_48|Pass_48|5/15/2012| sucre|
| USER_49|Pass_49|3/14/2006| tarija|
| USER_50|Pass_50|9/22/2008| Potosi|
| USER_51|Pass_51|6/23/2013| LP|
| USER_52|Pass_52|5/12/2000| tarija|
| USER_53|Pass_53|2/27/2005| STC|
| USER_54|Pass_54|12/8/2006| Beni|
| USER_55|Pass_55|7/25/2005| sucre|
| USER_56|Pass_56|6/10/2013| Beni|
| USER_57|Pass_57|3/3/2008| LP|
| USER_58|Pass_58|3/26/2012| CBBA|
| USER_59|Pass_59|5/25/2009| Beni|
| USER_60|Pass_60|4/5/2000| Oruro|
| USER_61|Pass_61|2/3/2000| CBBA|
| USER_62|Pass_62|10/30/2010| Oruro|
| USER_63|Pass_63|1/7/2004| Beni|
| USER_64|Pass_64|10/3/2011| Potosi|
| USER_65|Pass_65|1/1/2002| Beni|
| USER_66|Pass_66|11/26/2005| Pando|
| USER_67|Pass_67|10/2/2005| sucre|
| USER_68|Pass_68|2/12/2008| Beni|
| USER_69|Pass_69|9/1/2012| CBBA|
| USER_70|Pass_70|3/27/2014| Oruro|
| USER_71|Pass_71|10/25/2015| Beni|
| USER_72|Pass_72|7/15/2016| LP|
| USER_73|Pass_73|11/30/2007| Pando|
| USER_74|Pass_74|1/25/2000| tarija|
| USER_75|Pass_75|3/22/2005| tarija|
| USER_76|Pass_76|9/1/2011| Beni|
| USER_77|Pass_77|8/27/2008| CBBA|
| USER_78|Pass_78|6/3/2004| LP|
| USER_79|Pass_79|1/15/2008| STC|
| USER_80|Pass_80|10/30/2014| tarija|
| USER_81|Pass_81|5/24/2010| STC|
| USER_82|Pass_82|9/16/2012| tarija|
| USER_83|Pass_83|12/5/2007| Potosi|
| USER_84|Pass_84|3/21/2008| Potosi|
| USER_85|Pass_85|8/12/2000| Pando|
| USER_86|Pass_86|12/15/2007| CBBA|
| USER_87|Pass_87|6/3/2016| Oruro|
| USER_88|Pass_88|8/15/2003| Beni|
| USER_89|Pass_89|8/25/2010| Oruro|
| USER_90|Pass_90|6/5/2014| Oruro|
| USER_91|Pass_91|4/27/2014| LP|
| USER_92|Pass_92|8/26/2015| LP|
| USER_93|Pass_93|9/18/2001| tarija|
| USER_94|Pass_94|3/5/2016| Potosi|
| USER_95|Pass_95|5/12/2003| tarija|
| USER_96|Pass_96|3/12/2013| Pando|
| USER_97|Pass_97|5/21/2009| tarija|
| USER_98|Pass_98|11/28/2006| Pando|
| USER_99|Pass_99|8/19/2011| CBBA|
| USER_100|Pass_100|2/5/2007| STC|fdsgdfgdfgdfgdfgdfgdfg

hola dddsa
asdasd
